Campaign,Ad group,Final URL,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Path 1,Path 2
UAE_EN_Search_Blockstamp,Core Exact,https://blockstamp.ae/en,Bitcoin Timestamping,Public Proof on Bitcoin,OpenTimestamps,Protect IP & contracts in seconds.,Public verification + PDF certificate.,timestamping,bitcoin
UAE_EN_Search_Blockstamp,Core Phrase,https://blockstamp.ae/en,Proof of Existence,No File Storage,Legal PDF Certificate,Anchor your file’s hash on Bitcoin.,Verify publicly anytime.,proof,bitcoin
UAE_EN_Search_Blockstamp,Brand Exact,https://blockstamp.ae/en,Bitcoin Timestamping,Public Proof on Bitcoin,OpenTimestamps,Protect IP & contracts in seconds.,Public verification + PDF certificate.,timestamping,bitcoin
